time,mag,magType,nst,gap,dmin,rms,net,place,locationSource,magSource
2023-01-27T20:38:18.248Z,3.5,ml,,,,0.6,ak,"Southern Yukon Territory, Canada",ak,ak
2023-01-27T20:25:27.038Z,5.4,mww,190,26,3.624,0.84,us,"32 km ENE of Hingatungan, Philippines",us,us
2023-01-27T18:55:57.550Z,3.9,ml,,,,0.31,ak,"74 km ESE of Adak, Alaska",ak,ak
2023-01-27T18:35:55.022Z,3.6,ml,,,,0.7,ak,"130 km SW of Nikolski, Alaska",ak,ak
2023-01-27T18:18:41.778Z,2.5,ml,,,,0.66,ak,"54 km N of Petersville, Alaska",ak,ak
2023-01-27T18:18:00.454Z,4.7,mb,92,62,2.628,0.6,us,"95 km NE of Amahai, Indonesia",us,us
2023-01-27T17:09:00.233Z,2.5,ml,,,,0.64,ak,"104 km SE of Old Harbor, Alaska",ak,ak
2023-01-27T16:47:48.460Z,2.47,ml,45,133,,0.129999995,hv,"9 km ENE of Pāhala, Hawaii",hv,hv
2023-01-27T16:37:39.419Z,4.6,mb,33,122,4.686,0.53,us,south of the Fiji Islands,us,us
2023-01-27T16:34:56.920Z,3.02,md,9,106,0.1386,0.21,pr,"4 km NNE of San Germán, Puerto Rico",pr,pr
2023-01-27T16:33:28.276Z,4.5,mb,28,115,4.841,0.64,us,south of the Fiji Islands,us,us
2023-01-27T15:39:49.730Z,2.75,ml,41,227,,0.180000007,hv,"3 km ENE of Kailua-Kona, Hawaii",hv,hv
2023-01-27T15:13:22.160Z,2.59,ml,26,62,0.08118,0.18,ci,"14km NNE of Ridgecrest, CA",ci,ci
2023-01-27T14:37:44.850Z,3.25,md,10,239,0.9173,0.11,pr,"87 km N of Carrizales, Puerto Rico",pr,pr
2023-01-27T11:06:54.630Z,4.6,ml,21,217,0.7621,0.46,pr,"70 km NE of Cruz Bay, U.S. Virgin Islands",pr,pr
2023-01-27T10:56:36.558Z,4.3,mb,31,79,0.076,1.03,us,"109 km ENE of Iquique, Chile",us,us
2023-01-27T10:51:18.438Z,4.5,mb,69,105,1.047,0.82,us,"19 km N of Mazo Cruz, Peru",us,us
2023-01-27T10:28:22.080Z,3.23,ml,40,29,0.01759,0.15,nc,"3km ESE of Fortuna, CA",nc,nc
2023-01-27T09:36:37.331Z,4.4,mb,62,80,7.594,0.57,us,"15 km ESE of Behbahān, Iran",us,us
